PATCH PARAMETERS SORTED BY NRPN PARAMETER NUMBER

Do they appear in this order in the sysex?

macro1depth1	0x36 0x30
lfo2step39	0x4A 0x5E
lfo2step40	0x4A 0x5F
lfo2step41	0x4A 0x60
lfo2step42	0x4A 0x61
lfo2step43	0x4A 0x62
lfo2step44	0x4A 0x63
lfo2step45	0x4A 0x64
lfo2step46	0x4A 0x65
lfo2step47	0x4A 0x66
lfo2step48	0x4A 0x67
lfo2step49	0x4A 0x68
lfo2step50	0x4A 0x69
lfo2step51	0x4A 0x6A
lfo2step52	0x4A 0x6B
lfo2step53	0x4A 0x6C
lfo2step54	0x4A 0x6D
lfo2step55	0x4A 0x6E
lfo2step56	0x4A 0x6F
lfo2step57	0x4A 0x70
lfo2step58	0x4A 0x71
lfo2step59	0x4A 0x72
lfo2step60	0x4A 0x73
lfo2step61	0x4A 0x74
lfo2step62	0x4A 0x75
lfo2step63	0x4A 0x76
lfo2step64	0x4A 0x77
lfo3step9	0x4B 0x00
lfo3step10	0x4B 0x01
lfo3step11	0x4B 0x02
lfo3step12	0x4B 0x03
lfo3step13	0x4B 0x04
lfo3step14	0x4B 0x05
lfo3step15	0x4B 0x06
lfo3step16	0x4B 0x07
lfo3step17	0x4B 0x08
lfo3step18	0x4B 0x09
lfo3step19	0x4B 0x0A
lfo3step20	0x4B 0x0B
lfo3step21	0x4B 0x0C
lfo3step22	0x4B 0x0D
lfo3step23	0x4B 0x0E
lfo3step24	0x4B 0x0F
lfo3step25	0x4B 0x10
lfo3step26	0x4B 0x11
lfo3step27	0x4B 0x12
lfo3step28	0x4B 0x13
lfo3step29	0x4B 0x14
lfo3step30	0x4B 0x15
lfo3step31	0x4B 0x16
lfo3step32	0x4B 0x17
lfo3step33	0x4B 0x18
lfo3step34	0x4B 0x19
lfo3step35	0x4B 0x1A
lfo3step36	0x4B 0x1B
lfo3step37	0x4B 0x1C
lfo3step38	0x4B 0x1D
lfo3step39	0x4B 0x1E
lfo3step40	0x4B 0x1F
lfo3step41	0x4B 0x20
lfo3step42	0x4B 0x21
lfo3step43	0x4B 0x22
lfo3step44	0x4B 0x23
lfo3step45	0x4B 0x24
lfo3step46	0x4B 0x25
lfo3step47	0x4B 0x26
lfo3step48	0x4B 0x27
lfo3step49	0x4B 0x28
lfo3step50	0x4B 0x29
lfo3step51	0x4B 0x2A
lfo3step52	0x4B 0x2B
lfo3step53	0x4B 0x2C
lfo3step54	0x4B 0x2D
lfo3step55	0x4B 0x2E
lfo3step56	0x4B 0x2F
lfo3step57	0x4B 0x30
lfo3step58	0x4B 0x31
lfo3step59	0x4B 0x32
lfo3step60	0x4B 0x33
lfo3step61	0x4B 0x34
lfo3step62	0x4B 0x35
lfo3step63	0x4B 0x36
lfo3step64	0x4B 0x37
lfo4step9	0x4B 0x40
lfo4step10	0x4B 0x41
lfo4step11	0x4B 0x42
lfo4step12	0x4B 0x43
lfo4step13	0x4B 0x44
lfo4step14	0x4B 0x45
lfo4step15	0x4B 0x46
lfo4step16	0x4B 0x47
lfo4step17	0x4B 0x48
lfo4step18	0x4B 0x49
lfo4step19	0x4B 0x4A
lfo4step20	0x4B 0x4B
lfo4step21	0x4B 0x4C
lfo4step22	0x4B 0x4D
lfo4step23	0x4B 0x4E
lfo4step24	0x4B 0x4F
lfo4step25	0x4B 0x50
lfo4step26	0x4B 0x51
lfo4step27	0x4B 0x52
lfo4step28	0x4B 0x53
lfo4step29	0x4B 0x54
lfo4step30	0x4B 0x55
lfo4step31	0x4B 0x56
lfo4step32	0x4B 0x57
lfo4step33	0x4B 0x58
lfo4step34	0x4B 0x59
lfo4step35	0x4B 0x5A
lfo4step36	0x4B 0x5B
lfo4step37	0x4B 0x5C
lfo4step38	0x4B 0x5D
lfo4step39	0x4B 0x5E
lfo4step40	0x4B 0x5F
lfo4step41	0x4B 0x60
lfo4step42	0x4B 0x61
lfo4step43	0x4B 0x62
lfo4step44	0x4B 0x63
lfo4step45	0x4B 0x64
lfo4step46	0x4B 0x65
lfo4step47	0x4B 0x66
lfo4step48	0x4B 0x67
lfo4step49	0x4B 0x68
lfo4step50	0x4B 0x69
lfo4step51	0x4B 0x6A
lfo4step52	0x4B 0x6B
lfo4step53	0x4B 0x6C
lfo4step54	0x4B 0x6D
lfo4step55	0x4B 0x6E
lfo4step56	0x4B 0x6F
lfo4step57	0x4B 0x70
lfo4step58	0x4B 0x71
lfo4step59	0x4B 0x72
lfo4step60	0x4B 0x73
lfo4step61	0x4B 0x74
lfo4step62	0x4B 0x75
lfo4step63	0x4B 0x76
lfo4step64	0x4B 0x77
lfo5step9	0x4C 0x00
lfo5step10	0x4C 0x01
lfo5step11	0x4C 0x02
lfo5step12	0x4C 0x03
lfo5step13	0x4C 0x04
lfo5step14	0x4C 0x05
lfo5step15	0x4C 0x06
lfo5step16	0x4C 0x07
lfo5step17	0x4C 0x08
lfo5step18	0x4C 0x09
lfo5step19	0x4C 0x0A
lfo5step20	0x4C 0x0B
lfo5step21	0x4C 0x0C
lfo5step22	0x4C 0x0D
lfo5step23	0x4C 0x0E
lfo5step24	0x4C 0x0F
lfo5step25	0x4C 0x10
lfo5step26	0x4C 0x11
lfo5step27	0x4C 0x12
lfo5step28	0x4C 0x13
lfo5step29	0x4C 0x14
lfo5step30	0x4C 0x15
lfo5step31	0x4C 0x16
lfo5step32	0x4C 0x17
lfo5step33	0x4C 0x18
lfo5step34	0x4C 0x19
lfo5step35	0x4C 0x1A
lfo5step36	0x4C 0x1B
lfo5step37	0x4C 0x1C
lfo5step38	0x4C 0x1D
lfo5step39	0x4C 0x1E
lfo5step40	0x4C 0x1F
lfo5step41	0x4C 0x20
lfo5step42	0x4C 0x21
lfo5step43	0x4C 0x22
lfo5step44	0x4C 0x23
lfo5step45	0x4C 0x24
lfo5step46	0x4C 0x25
lfo5step47	0x4C 0x26
lfo5step48	0x4C 0x27
lfo5step49	0x4C 0x28
lfo5step50	0x4C 0x29
lfo5step51	0x4C 0x2A
lfo5step52	0x4C 0x2B
lfo5step53	0x4C 0x2C
lfo5step54	0x4C 0x2D
lfo5step55	0x4C 0x2E
lfo5step56	0x4C 0x2F
lfo5step57	0x4C 0x30
lfo5step58	0x4C 0x31
lfo5step59	0x4C 0x32
lfo5step60	0x4C 0x33
lfo5step61	0x4C 0x34
lfo5step62	0x4C 0x35
lfo5step63	0x4C 0x36
lfo5step64	0x4C 0x37
